"timeindex" "Y" "nsmY" "x" "y"
431 -0.176521767466112 0.00336416491855301 431 -0.179885932384665
432 -0.339470963515219 -0.163005954154257 432 -0.176465009360962
433 -0.242154148220585 -0.0691136457026303 433 -0.173040502517955
434 -0.306247819466281 -0.136635394031257 434 -0.169612425435024
435 -0.189946712440645 -0.0237659207131622 435 -0.166180791727483
436 -0.364445207292482 -0.201699592243783 436 -0.162745615048699
437 -0.213319901396299 -0.0540129923040711 437 -0.159306909092228
438 -0.265987237807235 -0.110122550213266 438 -0.155864687593969
439 0.00512737908761456 0.157546343421949 439 -0.152418964334334
440 -0.18359378691769 -0.0346240337772401 440 -0.14896975314045
441 -0.125817531510995 0.0196995363773603 441 -0.145517067888355
442 -0.276934263424916 -0.134873340919683 442 -0.142060922505233
443 -0.335349456491736 -0.196748125520086 443 -0.13860133097165
